image,01_gengdi,02_yuandi,03_lindi,04_caodi,05_fangwujianzhu,06_road,07_gouzhuwu,08_rengong,09_huangmo,10_water
01_gengdi,0.614888,0.186481,0.020767,0.107374,0.004293,0.016478,0.024705,0.003719,0.008974,0.012321
01_gengdi,0.946053,0.024126,0.002170,0.020163,0.000050,0.000743,0.003635,0.001584,0.000592,0.000884
01_gengdi,0.230190,0.026542,0.311496,0.289017,0.039030,0.043737,0.041637,0.007792,0.007591,0.002967
01_gengdi,0.982855,0.009607,0.001170,0.003536,0.000130,0.000221,0.001137,0.001151,0.000159,0.000034
01_gengdi,0.973951,0.013540,0.002230,0.008711,0.000025,0.000059,0.000197,0.001073,0.000190,0.000023
01_gengdi,0.859337,0.045796,0.005499,0.065145,0.000351,0.000193,0.009803,0.012943,0.000635,0.000299
01_gengdi,0.293605,0.207464,0.068337,0.223989,0.019509,0.001330,0.111457,0.069643,0.002492,0.002173
01_gengdi,0.987687,0.006995,0.000722,0.002388,0.000034,0.001030,0.000887,0.000144,0.000093,0.000021
01_gengdi,0.977891,0.011141,0.002197,0.006371,0.000013,0.001294,0.000667,0.000124,0.000169,0.000133
01_gengdi,0.990817,0.005647,0.000972,0.001373,0.000003,0.000865,0.000195,0.000041,0.000059,0.000028
01_gengdi,0.920829,0.014805,0.026057,0.023741,0.000113,0.007358,0.005114,0.000652,0.000853,0.000477
01_gengdi,0.969813,0.007733,0.003869,0.007072,0.000038,0.008661,0.001906,0.000230,0.000399,0.000279
01_gengdi,0.985712,0.007913,0.000782,0.002257,0.000046,0.002431,0.000642,0.000092,0.000099,0.000024
01_gengdi,0.989966,0.006896,0.000288,0.001231,0.000008,0.000965,0.000481,0.000056,0.000066,0.000042
01_gengdi,0.989918,0.007839,0.000300,0.000666,0.000002,0.001064,0.000102,0.000019,0.000063,0.000027
01_gengdi,0.980070,0.007519,0.003321,0.003916,0.000007,0.003673,0.000921,0.000155,0.000248,0.000171
01_gengdi,0.985934,0.009226,0.000636,0.001352,0.000002,0.002427,0.000181,0.000026,0.000126,0.000091
01_gengdi,0.973481,0.009111,0.003315,0.005102,0.000773,0.002912,0.004644,0.000435,0.000136,0.000090
01_gengdi,0.906483,0.034379,0.014512,0.019929,0.004080,0.000948,0.015203,0.004140,0.000259,0.000068
01_gengdi,0.783170,0.015717,0.024914,0.029849,0.000027,0.125671,0.009739,0.000323,0.002084,0.008507
01_gengdi,0.670207,0.049276,0.022116,0.127146,0.003808,0.002960,0.096277,0.025359,0.001882,0.000970
01_gengdi,0.695759,0.034675,0.096303,0.037420,0.000038,0.116786,0.002742,0.000726,0.007763,0.007789
02_yuandi,0.097771,0.356422,0.168170,0.275504,0.019208,0.007598,0.025519,0.006106,0.023221,0.020481
02_yuandi,0.240552,0.380975,0.066344,0.246243,0.004683,0.000863,0.030199,0.021619,0.003958,0.004564
02_yuandi,0.930911,0.044104,0.003045,0.016925,0.000070,0.000189,0.001864,0.002117,0.000523,0.000253
02_yuandi,0.018287,0.024342,0.640588,0.272142,0.001530,0.001037,0.026087,0.013194,0.001456,0.001337
02_yuandi,0.121907,0.150964,0.012204,0.073562,0.440221,0.000565,0.161937,0.036772,0.001156,0.000711
02_yuandi,0.254669,0.232608,0.044959,0.353051,0.011856,0.000780,0.078471,0.021349,0.001199,0.001058
02_yuandi,0.063346,0.218873,0.040746,0.159498,0.018332,0.021599,0.252970,0.007435,0.031290,0.185912
02_yuandi,0.273238,0.098776,0.115251,0.349337,0.043998,0.008448,0.093824,0.008646,0.004888,0.003596
02_yuandi,0.307767,0.258155,0.115241,0.287975,0.001436,0.000472,0.009876,0.015206,0.002466,0.001405
02_yuandi,0.014120,0.005421,0.077602,0.101119,0.000332,0.690649,0.009639,0.000785,0.025716,0.074616
02_yuandi,0.694046,0.171125,0.028422,0.090415,0.000969,0.000643,0.008034,0.005125,0.001011,0.000209
02_yuandi,0.199890,0.142984,0.057716,0.424863,0.030747,0.000959,0.080595,0.057313,0.003233,0.001700
02_yuandi,0.349807,0.196601,0.235446,0.163043,0.008855,0.000573,0.015917,0.026664,0.002420,0.000673
02_yuandi,0.152722,0.273571,0.003733,0.028934,0.401966,0.002189,0.127569,0.005767,0.002098,0.001450
02_yuandi,0.261576,0.431250,0.007815,0.046331,0.132238,0.000638,0.105291,0.011997,0.001816,0.001047
03_lindi,0.057428,0.026956,0.092814,0.191621,0.364103,0.052941,0.176714,0.007424,0.011948,0.018051
03_lindi,0.070686,0.018970,0.184740,0.249703,0.315336,0.007509,0.119841,0.028365,0.002780,0.002070
03_lindi,0.115756,0.069854,0.146505,0.501745,0.020563,0.001245,0.095715,0.045264,0.002285,0.001068
03_lindi,0.007014,0.004197,0.258615,0.430392,0.002773,0.141657,0.015861,0.005321,0.027767,0.106402
03_lindi,0.031962,0.015999,0.337260,0.174724,0.190437,0.002528,0.203005,0.040717,0.001650,0.001718
03_lindi,0.005010,0.006879,0.259001,0.276350,0.169462,0.007548,0.225914,0.032032,0.004524,0.013280
03_lindi,0.003925,0.006600,0.008265,0.041562,0.735546,0.000768,0.190184,0.011339,0.000434,0.001376
03_lindi,0.000741,0.001046,0.882546,0.084800,0.000077,0.000627,0.003582,0.009953,0.001769,0.014859
03_lindi,0.013765,0.016622,0.751905,0.192271,0.001344,0.001270,0.009425,0.008245,0.001935,0.003217
03_lindi,0.001051,0.001410,0.474872,0.120144,0.005215,0.009466,0.326748,0.018220,0.003796,0.039078
03_lindi,0.005171,0.011603,0.133193,0.240222,0.471677,0.002201,0.105421,0.021154,0.002592,0.006767
03_lindi,0.039869,0.052373,0.341411,0.517901,0.001191,0.000421,0.011565,0.031303,0.002618,0.001347
03_lindi,0.005580,0.003331,0.399508,0.215837,0.006904,0.048190,0.261200,0.010015,0.005781,0.043655
03_lindi,0.004439,0.002471,0.792780,0.184668,0.000373,0.003661,0.001903,0.004357,0.002008,0.003343
03_lindi,0.003072,0.003037,0.553689,0.323899,0.012717,0.001479,0.049277,0.045705,0.002185,0.004941
03_lindi,0.042391,0.025300,0.245005,0.369339,0.028879,0.051139,0.184169,0.009549,0.010913,0.033315
03_lindi,0.019354,0.045298,0.034694,0.159433,0.437111,0.103554,0.089260,0.003272,0.028005,0.080019
03_lindi,0.016935,0.025246,0.324577,0.532256,0.049524,0.001692,0.027181,0.015151,0.003338,0.004098
03_lindi,0.000980,0.000707,0.726522,0.203379,0.002575,0.000589,0.014071,0.044209,0.001070,0.005897
03_lindi,0.004888,0.011578,0.043839,0.159434,0.432670,0.001320,0.299775,0.038513,0.001107,0.006876
03_lindi,0.009852,0.025856,0.130380,0.457900,0.003610,0.019171,0.097786,0.005891,0.012559,0.236996
03_lindi,0.014826,0.012593,0.234834,0.142184,0.208774,0.001436,0.313560,0.068443,0.000828,0.002523
03_lindi,0.017742,0.044646,0.056351,0.472046,0.005101,0.013864,0.153716,0.010503,0.018146,0.207885
03_lindi,0.000750,0.002002,0.217758,0.067246,0.286539,0.001875,0.391614,0.018106,0.001060,0.013049
03_lindi,0.001392,0.003146,0.873331,0.081328,0.006156,0.003906,0.012584,0.005026,0.002104,0.011027
03_lindi,0.004283,0.005990,0.739619,0.154810,0.016401,0.001048,0.040870,0.033875,0.001118,0.001984
03_lindi,0.006350,0.013024,0.222691,0.173723,0.170472,0.005353,0.380123,0.014076,0.001760,0.012430
03_lindi,0.121866,0.055224,0.087695,0.215672,0.464195,0.008251,0.028808,0.008255,0.006295,0.003739
03_lindi,0.044646,0.015615,0.351048,0.471532,0.003305,0.033546,0.045370,0.004587,0.007025,0.023326
03_lindi,0.040195,0.020329,0.116771,0.167585,0.586603,0.004594,0.051830,0.008275,0.002835,0.000984
03_lindi,0.085892,0.177451,0.165644,0.267245,0.108615,0.031038,0.077700,0.008045,0.037502,0.040868
03_lindi,0.007462,0.005194,0.361460,0.283708,0.008929,0.001709,0.068313,0.242615,0.005325,0.015286
03_lindi,0.182377,0.034577,0.417913,0.283194,0.015132,0.000667,0.012127,0.051463,0.001995,0.000556
03_lindi,0.017133,0.031584,0.215128,0.635584,0.004957,0.001226,0.057983,0.027938,0.002653,0.005813
03_lindi,0.019871,0.032106,0.524809,0.345347,0.008308,0.000637,0.027068,0.037895,0.002055,0.001903
03_lindi,0.243255,0.124092,0.077568,0.109273,0.122667,0.013548,0.287809,0.009614,0.003417,0.008757
03_lindi,0.023827,0.009560,0.101834,0.359211,0.008657,0.000889,0.188180,0.296859,0.003291,0.007692
03_lindi,0.011503,0.006365,0.769849,0.189152,0.000970,0.001407,0.004808,0.010035,0.002737,0.003173
03_lindi,0.009534,0.011433,0.322318,0.372668,0.130338,0.020188,0.071259,0.012293,0.011863,0.038106
03_lindi,0.019049,0.024312,0.124399,0.401458,0.016363,0.065474,0.205299,0.009231,0.020798,0.113617
03_lindi,0.093306,0.046752,0.433067,0.323305,0.033462,0.002658,0.031799,0.030131,0.003848,0.001672
03_lindi,0.054291,0.020528,0.246761,0.497864,0.002762,0.054205,0.084341,0.004718,0.009803,0.024728
03_lindi,0.014704,0.024236,0.230577,0.336851,0.110898,0.031206,0.147343,0.011227,0.011789,0.081171
03_lindi,0.010569,0.010878,0.259499,0.308615,0.138046,0.028547,0.201604,0.016179,0.006918,0.019145
03_lindi,0.051547,0.026404,0.513695,0.335326,0.006089,0.011040,0.033291,0.009902,0.005510,0.007196
04_caodi,0.012584,0.021564,0.012347,0.065129,0.280245,0.001597,0.550544,0.045942,0.001668,0.008380
04_caodi,0.005983,0.005674,0.220130,0.529519,0.001251,0.002373,0.025921,0.113454,0.014092,0.081603
04_caodi,0.029021,0.019188,0.100202,0.195626,0.555299,0.016827,0.060740,0.008325,0.006276,0.008496
04_caodi,0.023431,0.024964,0.200787,0.604534,0.004117,0.000269,0.020608,0.114337,0.002906,0.004046
04_caodi,0.016462,0.035494,0.057467,0.197618,0.456669,0.000712,0.204941,0.027035,0.001781,0.001822
04_caodi,0.096362,0.015010,0.163141,0.392381,0.003314,0.231196,0.026852,0.002422,0.020216,0.049105
04_caodi,0.052694,0.030336,0.629633,0.191481,0.001961,0.052529,0.017229,0.003927,0.008908,0.011303
04_caodi,0.005610,0.008819,0.039848,0.278959,0.052234,0.093721,0.187763,0.015349,0.025481,0.292216
04_caodi,0.005087,0.003829,0.267632,0.390154,0.000730,0.089825,0.021639,0.002869,0.020897,0.197338
04_caodi,0.667651,0.042547,0.001547,0.014320,0.026695,0.001895,0.202214,0.041345,0.000746,0.001039
04_caodi,0.037636,0.025761,0.418424,0.447282,0.001472,0.001423,0.026044,0.032343,0.004524,0.005091
04_caodi,0.039095,0.033719,0.081422,0.392451,0.297011,0.010694,0.106075,0.013131,0.008250,0.018152
04_caodi,0.179532,0.018380,0.418065,0.291100,0.018214,0.015390,0.043989,0.010224,0.003382,0.001725
04_caodi,0.007376,0.003920,0.536048,0.358697,0.000471,0.018824,0.011407,0.005682,0.009802,0.047773
04_caodi,0.161289,0.024009,0.139944,0.251506,0.004006,0.244275,0.143764,0.008002,0.011038,0.012166
04_caodi,0.145701,0.016321,0.446106,0.230178,0.024538,0.056428,0.064010,0.006464,0.005646,0.004607
04_caodi,0.003530,0.003503,0.419341,0.280522,0.015151,0.017936,0.161536,0.019568,0.006448,0.072466
04_caodi,0.005522,0.008238,0.621910,0.323401,0.006599,0.002699,0.014938,0.009508,0.002959,0.004227
04_caodi,0.011469,0.007712,0.365845,0.255595,0.002224,0.013208,0.290084,0.009546,0.005371,0.038947
04_caodi,0.054722,0.065251,0.221876,0.565512,0.007494,0.000674,0.040321,0.040903,0.001934,0.001314
04_caodi,0.004771,0.005256,0.104298,0.458754,0.004465,0.077992,0.128021,0.008572,0.018829,0.189041
04_caodi,0.017885,0.009003,0.395894,0.418380,0.010368,0.038642,0.064036,0.013089,0.009994,0.022709
04_caodi,0.371940,0.073005,0.021711,0.442952,0.001565,0.000846,0.057712,0.026997,0.001701,0.001572
04_caodi,0.008124,0.015114,0.300433,0.410164,0.057559,0.000665,0.149732,0.053041,0.001674,0.003494
04_caodi,0.007365,0.006393,0.157920,0.183621,0.206024,0.011932,0.392493,0.013877,0.002989,0.017386
04_caodi,0.013698,0.032863,0.108890,0.775996,0.000424,0.002282,0.036201,0.013227,0.003141,0.013278
04_caodi,0.013528,0.030988,0.176408,0.703273,0.001339,0.004651,0.026593,0.009894,0.008892,0.024434
04_caodi,0.011749,0.007370,0.087023,0.319403,0.177383,0.011994,0.329788,0.017053,0.003734,0.034501
04_caodi,0.000987,0.005955,0.516856,0.245952,0.002120,0.001260,0.105188,0.072042,0.004418,0.045223
04_caodi,0.004302,0.005647,0.514926,0.356368,0.022553,0.004828,0.055870,0.027333,0.003016,0.005157
04_caodi,0.053192,0.038403,0.288144,0.566013,0.000647,0.001897,0.024784,0.020077,0.003432,0.003410
04_caodi,0.017425,0.022238,0.220725,0.523236,0.039611,0.005635,0.123675,0.036969,0.004627,0.005858
04_caodi,0.001301,0.004367,0.044549,0.111037,0.000417,0.005696,0.095945,0.005197,0.004562,0.726928
04_caodi,0.018784,0.013668,0.327738,0.539669,0.010964,0.004017,0.064798,0.013029,0.002501,0.004831
04_caodi,0.004337,0.021308,0.169086,0.594680,0.008467,0.000321,0.104364,0.090534,0.001894,0.005008
04_caodi,0.034836,0.070878,0.021597,0.111077,0.096250,0.000430,0.586980,0.076048,0.000666,0.001237
04_caodi,0.035107,0.052385,0.003335,0.032199,0.197134,0.000408,0.651655,0.024043,0.000942,0.002792
04_caodi,0.584207,0.106804,0.006001,0.035556,0.027385,0.002196,0.222110,0.013692,0.001011,0.001038
04_caodi,0.007477,0.006350,0.237346,0.426930,0.001283,0.101020,0.027824,0.002266,0.018326,0.171179
04_caodi,0.034892,0.086920,0.042440,0.145305,0.492392,0.009357,0.154335,0.007815,0.008442,0.018101
04_caodi,0.000196,0.001413,0.008687,0.029812,0.000174,0.003625,0.019910,0.001222,0.006065,0.928897
04_caodi,0.021193,0.026298,0.033352,0.833969,0.000280,0.001012,0.042182,0.030392,0.002968,0.008355
04_caodi,0.011530,0.005152,0.185428,0.622988,0.000295,0.005998,0.028154,0.034755,0.020226,0.085476
04_caodi,0.230700,0.112308,0.039191,0.363038,0.032582,0.002216,0.131921,0.078637,0.004661,0.004745
04_caodi,0.012949,0.017781,0.026001,0.099030,0.437715,0.000850,0.367368,0.034380,0.001326,0.002600
04_caodi,0.304906,0.124772,0.017599,0.080614,0.144656,0.001991,0.270660,0.052023,0.001311,0.001468
04_caodi,0.024006,0.015453,0.047820,0.229738,0.025128,0.282127,0.240359,0.005590,0.017896,0.111882
04_caodi,0.017662,0.005360,0.154525,0.442575,0.058248,0.001735,0.102134,0.203632,0.006394,0.007736
04_caodi,0.064237,0.025242,0.332350,0.422430,0.006068,0.016418,0.091902,0.010529,0.006336,0.024489
04_caodi,0.007502,0.007078,0.653548,0.280905,0.005078,0.007379,0.012042,0.006044,0.005524,0.014899
04_caodi,0.168101,0.086104,0.005613,0.082601,0.030763,0.000854,0.554970,0.066363,0.001737,0.002896
04_caodi,0.063004,0.066530,0.016059,0.054353,0.507911,0.001741,0.257995,0.025309,0.004717,0.002382
04_caodi,0.010567,0.009185,0.260116,0.518740,0.002591,0.000257,0.017072,0.174242,0.004313,0.002917
04_caodi,0.094887,0.028350,0.020100,0.077177,0.176314,0.001741,0.546714,0.053216,0.000854,0.000646
04_caodi,0.009693,0.014579,0.052103,0.325320,0.077562,0.020158,0.372293,0.046031,0.010498,0.071761
05_fangwujianzhu,0.007953,0.005324,0.011781,0.020748,0.915983,0.000925,0.032976,0.003502,0.000417,0.000390
05_fangwujianzhu,0.002407,0.009072,0.013235,0.058246,0.466965,0.000223,0.396802,0.051038,0.000321,0.001690
05_fangwujianzhu,0.001381,0.001791,0.006051,0.010546,0.956062,0.000200,0.020293,0.003276,0.000202,0.000200
05_fangwujianzhu,0.000760,0.003287,0.000976,0.002442,0.958557,0.001058,0.029673,0.001502,0.000815,0.000928
05_fangwujianzhu,0.028816,0.006052,0.002082,0.005480,0.751387,0.000986,0.193113,0.011594,0.000247,0.000243
05_fangwujianzhu,0.006357,0.025375,0.007967,0.067868,0.118519,0.000484,0.679635,0.082756,0.001422,0.009617
05_fangwujianzhu,0.000160,0.000273,0.001412,0.003430,0.918609,0.000507,0.069409,0.005494,0.000157,0.000550
05_fangwujianzhu,0.000308,0.000708,0.000250,0.001190,0.909873,0.000089,0.084417,0.002860,0.000053,0.000254
05_fangwujianzhu,0.001041,0.003660,0.001686,0.008739,0.783164,0.000133,0.190398,0.010405,0.000233,0.000541
05_fangwujianzhu,0.000346,0.000574,0.001144,0.002587,0.978985,0.000085,0.014862,0.001220,0.000095,0.000101
05_fangwujianzhu,0.002526,0.001978,0.001414,0.005631,0.901902,0.000667,0.079918,0.005129,0.000294,0.000540
05_fangwujianzhu,0.000975,0.001856,0.023912,0.023046,0.827644,0.001296,0.113027,0.006167,0.000587,0.001489
05_fangwujianzhu,0.000219,0.000237,0.000826,0.001413,0.957843,0.000169,0.037332,0.001851,0.000032,0.000078
05_fangwujianzhu,0.001399,0.002331,0.004367,0.010056,0.945862,0.000832,0.032124,0.001519,0.000576,0.000934
05_fangwujianzhu,0.000414,0.000851,0.024016,0.022857,0.610007,0.001758,0.307275,0.023709,0.000660,0.008454
05_fangwujianzhu,0.000008,0.000040,0.000235,0.000400,0.989346,0.000030,0.008460,0.001360,0.000016,0.000104
05_fangwujianzhu,0.000411,0.000526,0.000965,0.002313,0.959063,0.000202,0.034546,0.001672,0.000118,0.000184
05_fangwujianzhu,0.000084,0.000275,0.030390,0.008294,0.835650,0.000408,0.077477,0.044082,0.000358,0.002982
05_fangwujianzhu,0.004035,0.003333,0.010390,0.024486,0.477854,0.003899,0.462159,0.012044,0.000442,0.001358
05_fangwujianzhu,0.073930,0.011733,0.271695,0.294842,0.180007,0.031519,0.108456,0.014026,0.005328,0.008463
05_fangwujianzhu,0.000093,0.000165,0.000271,0.000422,0.993750,0.000148,0.004617,0.000412,0.000052,0.000070
05_fangwujianzhu,0.002872,0.004308,0.046065,0.121802,0.604807,0.000716,0.197223,0.018543,0.000642,0.003022
05_fangwujianzhu,0.013737,0.026456,0.034604,0.266259,0.109044,0.001206,0.476189,0.063848,0.001423,0.007234
05_fangwujianzhu,0.000368,0.001042,0.001895,0.007937,0.954443,0.000495,0.027882,0.002217,0.000548,0.003174
05_fangwujianzhu,0.000086,0.000237,0.000835,0.001414,0.976064,0.000092,0.019396,0.001543,0.000070,0.000261
05_fangwujianzhu,0.000689,0.002139,0.006173,0.022332,0.919470,0.001301,0.039327,0.002517,0.001290,0.004761
05_fangwujianzhu,0.000543,0.000806,0.000398,0.001047,0.894049,0.000159,0.099621,0.002988,0.000068,0.000321
05_fangwujianzhu,0.000321,0.000416,0.001118,0.003375,0.822809,0.000382,0.168130,0.002912,0.000086,0.000451
05_fangwujianzhu,0.008604,0.005338,0.003843,0.018845,0.408856,0.000482,0.535622,0.017591,0.000227,0.000591
05_fangwujianzhu,0.001793,0.003058,0.003155,0.013285,0.601525,0.000133,0.359456,0.016780,0.000174,0.000641
05_fangwujianzhu,0.000153,0.000187,0.000372,0.001229,0.925171,0.000198,0.070025,0.002411,0.000056,0.000198
05_fangwujianzhu,0.000157,0.000182,0.000402,0.001119,0.911156,0.000151,0.080895,0.005732,0.000035,0.000170
05_fangwujianzhu,0.001300,0.000881,0.000843,0.003184,0.922810,0.000322,0.067104,0.003294,0.000114,0.000149
05_fangwujianzhu,0.000150,0.000273,0.001470,0.003202,0.915426,0.000220,0.075278,0.002992,0.000137,0.000852
05_fangwujianzhu,0.000081,0.000166,0.000336,0.000879,0.920331,0.000069,0.073835,0.004135,0.000039,0.000130
05_fangwujianzhu,0.000576,0.000368,0.000413,0.000908,0.956303,0.000090,0.039893,0.001331,0.000045,0.000073
05_fangwujianzhu,0.000890,0.001331,0.000925,0.003370,0.907701,0.000450,0.083271,0.001423,0.000249,0.000390
05_fangwujianzhu,0.000175,0.000313,0.000327,0.000866,0.985873,0.000166,0.010552,0.001417,0.000110,0.000200
05_fangwujianzhu,0.000145,0.000177,0.000287,0.000548,0.985026,0.000101,0.012808,0.000806,0.000036,0.000065
05_fangwujianzhu,0.000274,0.000435,0.001842,0.002639,0.975869,0.000152,0.016856,0.001554,0.000101,0.000279
05_fangwujianzhu,0.000343,0.001425,0.006596,0.022344,0.897642,0.002717,0.056969,0.002735,0.001339,0.007889
05_fangwujianzhu,0.001057,0.001599,0.000922,0.005267,0.946244,0.000281,0.041023,0.002667,0.000244,0.000696
05_fangwujianzhu,0.000272,0.000942,0.000196,0.000980,0.960898,0.000110,0.034757,0.001583,0.000093,0.000168
05_fangwujianzhu,0.002109,0.001339,0.001404,0.008252,0.656478,0.000188,0.311823,0.017995,0.000108,0.000304
05_fangwujianzhu,0.000076,0.000157,0.000244,0.000547,0.975437,0.000063,0.021933,0.001342,0.000042,0.000160
05_fangwujianzhu,0.000423,0.000798,0.000843,0.002014,0.954871,0.000189,0.038717,0.001765,0.000110,0.000271
05_fangwujianzhu,0.000825,0.004551,0.005940,0.020552,0.380950,0.001645,0.531022,0.016094,0.001500,0.036921
05_fangwujianzhu,0.001381,0.001947,0.001536,0.005302,0.603221,0.000308,0.371599,0.013404,0.000181,0.001122
05_fangwujianzhu,0.075617,0.026622,0.017275,0.042388,0.462842,0.001767,0.329558,0.042124,0.000882,0.000927
05_fangwujianzhu,0.322661,0.133796,0.056315,0.224658,0.035534,0.001322,0.138180,0.084354,0.002047,0.001133
05_fangwujianzhu,0.010462,0.004778,0.006218,0.019380,0.758932,0.001009,0.180172,0.018206,0.000425,0.000418
05_fangwujianzhu,0.000887,0.001285,0.002232,0.005987,0.886248,0.000118,0.085688,0.017068,0.000128,0.000359
05_fangwujianzhu,0.001671,0.003683,0.003596,0.009615,0.947910,0.004478,0.022387,0.001472,0.001980,0.003210
05_fangwujianzhu,0.001709,0.000931,0.002155,0.003609,0.973856,0.001037,0.015318,0.000976,0.000175,0.000233
05_fangwujianzhu,0.005132,0.004287,0.005035,0.015846,0.618108,0.004851,0.331986,0.008723,0.001406,0.004625
05_fangwujianzhu,0.092146,0.047219,0.048008,0.103245,0.358220,0.002135,0.288878,0.056113,0.002561,0.001475
05_fangwujianzhu,0.000237,0.000397,0.000721,0.001261,0.980986,0.000090,0.014922,0.001181,0.000087,0.000118
05_fangwujianzhu,0.001398,0.001558,0.000507,0.001450,0.930152,0.000156,0.061770,0.002726,0.000115,0.000167
05_fangwujianzhu,0.066686,0.041372,0.011083,0.129088,0.212953,0.000320,0.365075,0.171219,0.000869,0.001336
05_fangwujianzhu,0.262732,0.053002,0.171169,0.236930,0.191174,0.028675,0.036689,0.009609,0.008065,0.001953
05_fangwujianzhu,0.000518,0.000869,0.003263,0.007539,0.940369,0.000183,0.044232,0.002526,0.000166,0.000335
05_fangwujianzhu,0.000079,0.000637,0.003663,0.003523,0.881458,0.000092,0.102290,0.007330,0.000136,0.000794
05_fangwujianzhu,0.001491,0.001295,0.000685,0.001924,0.977331,0.000736,0.015351,0.000684,0.000238,0.000265
05_fangwujianzhu,0.000064,0.000107,0.000180,0.000287,0.995296,0.000080,0.003620,0.000281,0.000037,0.000047
05_fangwujianzhu,0.000614,0.000303,0.001930,0.002445,0.977286,0.000449,0.015236,0.001521,0.000091,0.000125
05_fangwujianzhu,0.003778,0.001157,0.003418,0.005686,0.939361,0.001743,0.041749,0.002469,0.000313,0.000327
05_fangwujianzhu,0.175087,0.423686,0.030017,0.153231,0.053631,0.004129,0.129548,0.012888,0.005957,0.011827
05_fangwujianzhu,0.000024,0.000056,0.000106,0.000170,0.996213,0.000042,0.003082,0.000253,0.000019,0.000035
05_fangwujianzhu,0.000515,0.001107,0.000513,0.001794,0.982055,0.001107,0.011033,0.000748,0.000478,0.000649
05_fangwujianzhu,0.004523,0.003543,0.009824,0.024489,0.921229,0.001556,0.029412,0.003713,0.000836,0.000874
